  -3.6544627e+00   3.1692096e-04
  -3.4966789e+00   3.1692096e-04
  -3.3388951e+00   3.1692096e-04
  -3.1811112e+00   9.5076288e-04
  -3.0233274e+00   2.5353677e-03
  -2.8655436e+00   3.8030515e-03
  -2.7077598e+00   6.6553402e-03
  -2.5499759e+00   1.0458392e-02
  -2.3921921e+00   1.2993759e-02
  -2.2344083e+00   1.6479890e-02
  -2.0766245e+00   1.9966021e-02
  -1.9188407e+00   3.1375175e-02
  -1.7610568e+00   4.7538144e-02
  -1.6032730e+00   5.9581141e-02
  -1.4454892e+00   7.3842584e-02
  -1.2877054e+00   8.7470185e-02
  -1.1299215e+00   1.0933773e-01
  -9.7213773e-01   1.0807005e-01
  -8.1435390e-01   1.3754370e-01
  -6.5657008e-01   1.6036201e-01
  -4.9878626e-01   1.6733427e-01
  -3.4100244e-01   1.9649100e-01
  -1.8321862e-01   1.9363871e-01
  -2.5434794e-02   1.9807560e-01
   1.3234903e-01   1.8634953e-01
   2.9013285e-01   1.9902636e-01
   4.4791667e-01   1.7367269e-01
   6.0570049e-01   1.6321430e-01
   7.6348432e-01   1.5687588e-01
   9.2126814e-01   1.4293135e-01
   1.0790520e+00   1.1504231e-01
   1.2368358e+00   9.4759367e-02
   1.3946196e+00   8.0497924e-02
   1.5524034e+00   5.8313457e-02
   1.7101872e+00   4.4685856e-02
   1.8679711e+00   3.5178227e-02
   2.0257549e+00   2.1233704e-02
   2.1835387e+00   1.6162969e-02
   2.3413225e+00   1.3944522e-02
   2.4991064e+00   8.8737869e-03
   2.6568902e+00   4.4368935e-03
   2.8146740e+00   2.8522887e-03
   2.9724578e+00   1.9015258e-03
   3.1302416e+00   1.5846048e-03
   3.2880255e+00   6.3384192e-04
   3.4458093e+00   9.5076288e-04
   3.6035931e+00   3.1692096e-04
   3.7613769e+00   0.0000000e+00
   3.9191608e+00   0.0000000e+00
   4.0769446e+00   3.1692096e-04
